date,tsp_name,loc,tsq
"October 13, 2017 10:05 PM CT",Freebird Gas Storage L.L.C.,021039,43316
"October 13, 2017 10:05 PM CT",Freebird Gas Storage L.L.C.,012709,0
"October 12, 2017 10:05 PM CT",Freebird Gas Storage L.L.C.,0002,0
"October 12, 2017 10:05 PM CT",Freebird Gas Storage L.L.C.,021039,12704
"October 12, 2017 10:05 PM CT",Freebird Gas Storage L.L.C.,012709,0
"October 11, 2017 10:05 PM CT",Freebird Gas Storage L.L.C.,0002,0
"October 11, 2017 10:05 PM CT",Freebird Gas Storage L.L.C.,021039,2500
"October 11, 2017 10:05 PM CT",Freebird Gas Storage L.L.C.,012709,-40000
"October 10, 2017 10:05 PM CT",Freebird Gas Storage L.L.C.,0002,0
"October 10, 2017 10:05 PM CT",Freebird Gas Storage L.L.C.,021039,2500
"October 10, 2017 10:05 PM CT",Freebird Gas Storage L.L.C.,012709,-50000
"October 9, 2017 10:05 PM CT",Freebird Gas Storage L.L.C.,0002,0
"October 9, 2017 10:05 PM CT",Freebird Gas Storage L.L.C.,021039,2500
"October 9, 2017 10:05 PM CT",Freebird Gas Storage L.L.C.,012709,-45000
"October 8, 2017 10:05 PM CT",Freebird Gas Storage L.L.C.,0002,0
"October 8, 2017 10:05 PM CT",Freebird Gas Storage L.L.C.,021039,2500
"October 8, 2017 10:05 PM CT",Freebird Gas Storage L.L.C.,012709,-40000
"October 7, 2017 10:05 PM CT",Freebird Gas Storage L.L.C.,0002,0
"October 7, 2017 10:05 PM CT",Freebird Gas Storage L.L.C.,021039,2500
"October 7, 2017 10:05 PM CT",Freebird Gas Storage L.L.C.,012709,0
"October 6, 2017 10:05 PM CT",Freebird Gas Storage L.L.C.,0002,0
"October 6, 2017 10:05 PM CT",Freebird Gas Storage L.L.C.,021039,28010
"October 6, 2017 10:05 PM CT",Freebird Gas Storage L.L.C.,012709,0
"October 5, 2017 10:05 PM CT",Freebird Gas Storage L.L.C.,0002,0
"October 5, 2017 10:05 PM CT",Freebird Gas Storage L.L.C.,021039,2500
"October 5, 2017 10:05 PM CT",Freebird Gas Storage L.L.C.,012709,0
"October 4, 2017 10:05 PM CT",Freebird Gas Storage L.L.C.,0002,0
"October 4, 2017 10:05 PM CT",Freebird Gas Storage L.L.C.,021039,2500
"October 4, 2017 10:05 PM CT",Freebird Gas Storage L.L.C.,012709,0
"October 3, 2017 10:05 PM CT",Freebird Gas Storage L.L.C.,0002,0
"October 3, 2017 10:05 PM CT",Freebird Gas Storage L.L.C.,021039,38214
"October 3, 2017 10:05 PM CT",Freebird Gas Storage L.L.C.,012709,0
"October 2, 2017 10:05 PM CT",Freebird Gas Storage L.L.C.,0002,0
"October 2, 2017 10:05 PM CT",Freebird Gas Storage L.L.C.,021039,43316
"October 2, 2017 10:05 PM CT",Freebird Gas Storage L.L.C.,012709,0
"October 1, 2017 10:05 PM CT",Freebird Gas Storage L.L.C.,0002,0
"October 1, 2017 10:05 PM CT",Freebird Gas Storage L.L.C.,021039,43316
"October 1, 2017 10:05 PM CT",Freebird Gas Storage L.L.C.,012709,0
"October 30, 2017 10:05 PM CT",BayGas Storage,BG-1002,227861
"October 30, 2017 10:05 PM CT",BayGas Storage,BG-1003,59000
"October 30, 2017 10:05 PM CT",BayGas Storage,BG-1008,50000
"October 30, 2017 10:05 PM CT",BayGas Storage,BG-1013,293640
"October 29, 2017 10:05 PM CT",BayGas Storage,BG-1002,228286
"October 29, 2017 10:05 PM CT",BayGas Storage,BG-1003,59000
"October 29, 2017 10:05 PM CT",BayGas Storage,BG-1008,50000
"October 29, 2017 10:05 PM CT",BayGas Storage,BG-1013,276569
"October 28, 2017 10:05 PM CT",BayGas Storage,BG-1002,101236
"October 28, 2017 10:05 PM CT",BayGas Storage,BG-1003,89000
